name,institution,role,events,cohort,current,website,photo,display
Dotan Haim,Florida State University,organizer,PSS 2022; Michigan 2024; FSU 2025; Duke 2026,,,,,TRUE
Megan Stewart,University of Michigan,organizer,PSS 2022; Michigan 2024; FSU 2025; Duke 2026,,,,,TRUE
Mara Revkin,Duke University,organizer,Michigan 2024; FSU 2025; Duke 2026,,,,,TRUE
Janet Lewis,George Washington University,senior,PSS 2022; FSU 2025; Duke 2026,,,,,TRUE
Aidan Milliff,Florida State University,senior,PSS 2022; FSU 2025,,,,,TRUE
Makena Micheni,London School of Economics,senior,PSS 2022,,,,,TRUE
Paul Staniland,University of Chicago,senior,Michigan 2024; Duke 2026,,,,,TRUE
Jason Lyall,Dartmouth College,senior,Michigan 2024,,,,,TRUE
Laia Balcells,Georgetown University,senior,Michigan 2024; FSU 2025,,,,,TRUE
Omar García-Ponce,George Washington University,senior,Michigan 2024; FSU 2025; Duke 2026,,,,,TRUE
Alan Jacobs,University of British Columbia,senior,FSU 2025,,,,,TRUE
Zachariah Mampilly,Baruch College — CUNY,senior,FSU 2025,,,,,TRUE
Nicholas Sambanis,Yale University,senior,FSU 2025,,,,,TRUE
Dan Slater,University of Michigan,senior,FSU 2025,,,,,TRUE
Eduardo Moncada,"Barnard College, Columbia University",senior,FSU 2025,,,,,TRUE
Jakana Thomas,University of California San Diego,senior,FSU 2025,,,,,TRUE
Danielle Gilbert,Northwestern University,senior,FSU 2025,,,,,TRUE
Andrés Uribe,University of Wisconsin-Madison,senior,FSU 2025; Duke 2026,,,,,TRUE
Jessie Trudeau,Syracuse University,senior,FSU 2025; Duke 2026,,,,,TRUE
Kelly Matush,Florida State University,senior,FSU 2025,,,,,TRUE
Olga Gasparyan,Florida State University,senior,FSU 2025,,,,,TRUE
Quintin Beazer,Florida State University,senior,FSU 2025,,,,,TRUE
Erica Simmons,University of Wisconsin-Madison,senior,Duke 2026,,,,,TRUE
Consuelo Amat,Johns Hopkins University,senior,Duke 2026,,,,,TRUE
Scott Straus,University of California Berkeley,senior,Duke 2026,,,,,TRUE
Shelley Liu,Duke University,senior,Duke 2026,,,,,TRUE
David Siegel,Duke University,senior,Duke 2026,,,,,TRUE
Elena Barham,University of Mannheim,fellow,FSU 2025,2025,University of Michigan,https://www.elenabarham.com/,elena-barham.jpg,TRUE
Adee Weller,Emory University,fellow,FSU 2025,2025,Pennsylvania State University,https://adee-weller.com/,adee-weller.jpg,TRUE
Ana Paula Pellegrino,Georgetown University,fellow,FSU 2025,2025,Stanford University,https://anappellegrino.github.io/,ana-paula-pellegrino.jpg,TRUE
Finn Klebe,University College London,fellow,FSU 2025,2025,Osnabrück University,https://finnklebe.github.io/,finn-klebe.jpg,TRUE
Jiyoung Kim,University of California Los Angeles,fellow,FSU 2025,2025,Michigan State University,https://jiyoungestherkim.github.io/,jiyoung-kim.jpg,TRUE
Gilad Wenig,University of California Los Angeles,fellow,FSU 2025,2025,University of California Los Angeles,https://giladwenig.com/,gilad-wenig.jpg,TRUE
Beenish Riaz,Columbia University,fellow,Duke 2026,2026,Columbia University,https://polisci.columbia.edu/content/beenish-riaz,beenish-riaz.jpg,TRUE
Stephen Rangazas,Dartmouth College,fellow,Duke 2026,2026,Dartmouth College,https://www.stephenrangazas.com/,stephen-rangazas.jpg,TRUE
Timothy Jones,Duke University,fellow,Duke 2026,2026,Duke University,https://timothyleejones.github.io/,timothy-jones.jpg,TRUE
Nguyen Ha,Vanderbilt University,fellow,Duke 2026,2026,Vanderbilt University,https://thaonguyen-ha.com/,nguyen-ha.jpg,TRUE
Martín Macías-Medellín,University of Michigan,fellow,Duke 2026,2026,University of Michigan,https://sites.lsa.umich.edu/macias/,martin-macias-medellin.jpg,TRUE
